Epoch,Train Loss,Train Accuracy,Train F1-Score,Test Loss,Test Accuracy,Test F1-Score
1,0.22502856572513538,92.612,0.9261025483693395,1.6742487344772192,66.36,0.663012079532482
2,0.22565992779153235,92.682,0.9268387855453574,1.7686161049612008,65.54,0.6579066598631613
3,0.2159467929416834,92.984,0.9298376668543683,1.67853636916276,66.09,0.6621511547521833
4,0.1966048505733652,93.616,0.9361469046741537,1.812367792342119,66.2,0.6626365535949662
5,0.19604380517397696,93.654,0.9365045617337485,1.787539364046352,65.76,0.6586721087667331
6,0.18315327124696348,94.034,0.940349318031204,1.845834012623805,65.38,0.6520920901926907
7,0.17345283041134132,94.372,0.943719905336191,1.890118890507206,65.8,0.6595584970883559
8,0.16744751718533618,94.638,0.946373913929717,1.8580805029079412,65.68,0.6572274981562234
9,0.15603723800252847,94.9,0.9489825876298263,1.897771342924446,66.53,0.6661682409955262
10,0.1505292953418382,95.194,0.9519498560658777,1.9774782479189004,65.53,0.6539554706662395
11,0.15011028269820315,95.014,0.9501307133951247,1.88810781422694,67.34,0.6739530638190594
12,0.14496919730692492,95.298,0.9529852227739359,2.028869065129833,65.94,0.6583251794357984
13,0.08492181622161223,97.36,0.9735956461935321,1.7657734387239832,68.84,0.6887911646622003
14,0.053694958326971284,98.358,0.983580086363866,1.825878334652846,69.12,0.6919740998788949
15,0.0439105868240392,98.632,0.9863204801531045,1.8569020883292908,69.14,0.6918869162266337
16,0.036868156570776855,98.858,0.9885820211422657,1.895412547193515,69.47,0.6952540166733907
17,0.032681018288117474,98.946,0.9894607177743108,1.9260591188813472,69.27,0.6922888604249298
