Epoch,Train Loss,Train Accuracy,Train F1-Score,Test Loss,Test Accuracy,Test F1-Score
1,2.0823258765213324,21.456,0.21108585841044547,2.1791461402443564,19.09,0.13464090169502163
2,1.7614488321192123,32.918,0.325192354462842,2.1319534945639833,19.74,0.14463148881807186
3,1.6360254017898188,40.218,0.39547717080222095,2.784076096905265,23.44,0.1817736725305141
4,1.5267517008744846,45.16,0.4459019177735139,1.4802418392934618,47.47,0.44563433368399685
5,1.5584186507612847,44.228,0.4369745705633133,2.366945215850879,45.23,0.4357141284333319
6,1.333380574689192,52.442,0.5205023062595026,1.7415831734420388,44.27,0.41727164118451493
7,1.3689190342145807,51.594,0.5124206830945884,1.4701315703665374,49.26,0.47819236270658294
8,1.4835644507652048,47.866,0.47529333077279257,1.4718460201457808,48.95,0.4725394915580995
9,1.1609885136946998,59.044,0.5884688785387986,1.0624693559992844,62.2,0.6202566293889206
10,1.009982428663527,64.21,0.6408561922538583,0.9792680596090426,66.17,0.6587555771163354
11,0.9374068736496484,67.188,0.6711574489228691,0.8927579465185761,68.31,0.6801144462741546
12,0.8763939264942618,69.274,0.6920622827905769,0.8287250559041455,70.63,0.7052813032643517
13,0.8150583115761237,71.652,0.7160178122030844,0.8092992852447899,71.65,0.714884725934603
14,0.780050471272615,72.746,0.7270223179166688,0.7844033620919392,73.61,0.7283870413629429
15,0.7092933749680019,75.338,0.7529308563689929,0.7693917660196875,74.02,0.7417876633480415
16,0.6701586451905462,76.878,0.768438705543246,0.718320625223172,75.1,0.7512621394275082
17,0.6267363724043912,78.344,0.7832460235238312,0.6391293324862316,77.63,0.7756100407948507
18,0.6009196412685277,79.422,0.7940442920564991,0.6493241380734048,78.16,0.7805964242826157
19,0.5728299830423291,80.45,0.804227019900747,0.6510806831584615,78.6,0.7872334987699044
20,0.5453144922433302,81.572,0.8155499247805937,0.6103427643608895,79.46,0.7957650661752352
21,0.5180478979597616,82.418,0.8240951425718369,0.5649565258982835,80.81,0.8062172978446435
22,0.5035474333540558,82.934,0.8292272122559766,0.5517429574659676,81.73,0.8160003596495843
23,0.48970573431695513,83.346,0.8333923124951111,0.6210032606580455,79.49,0.8003884739191411
24,0.4681923998438794,84.072,0.840592733246356,0.4963203558496609,83.5,0.8353718721941661
25,0.44983166635341354,84.674,0.8466279045715771,0.5548337766319323,82.38,0.8234122163270149
26,0.4464617823167225,85.024,0.8501236844518401,0.5229973812012156,82.77,0.8288651323041553
27,0.4264656215182046,85.436,0.8542857761840273,0.46628929275995606,84.8,0.847581956755223
28,0.41630844219261426,85.92,0.8591306031006499,0.5197218063340825,83.54,0.8365605053027917
29,0.402128198939135,86.386,0.863853745089601,0.5418291576443963,83.49,0.8288967718950855
30,0.39175416933148716,86.688,0.8668404699880409,0.5038166613715469,84.08,0.8384391688696267
31,0.40297512936851254,86.544,0.8653854246135391,0.47618203690856886,84.82,0.8466031600438084
32,0.3627661633807832,87.914,0.8790837713261335,0.4762390332806642,85.29,0.8512286842500946
33,0.35533586431227987,87.99,0.8797928160606721,0.5382722630432457,83.05,0.832072332082833
34,0.3543304943901194,88.11,0.8810658010577578,0.4864940532263677,84.82,0.8474589661944001
35,0.3517479147676312,88.23,0.8822469902080687,0.5022780628530843,83.25,0.8351993542447838
36,0.34312783562771193,88.384,0.8837856679481395,0.5056343845501068,83.88,0.841519054812411
37,0.3365176530731151,88.618,0.8861379539836658,0.5203727066137229,83.96,0.8389803069212111
38,0.32595012752372593,88.964,0.8896111258505867,0.5330649132181884,84.13,0.8423714284093244
39,0.23317875761224333,91.862,0.9186444935046667,0.38784131445702474,87.95,0.8794346455913293
40,0.21696631093521404,92.55,0.9254800998539146,0.39573367011205407,87.37,0.8746491444687983
41,0.20938608309258813,92.732,0.9273257381702471,0.3872987133966889,88.16,0.8807989584946668
42,0.2068634156347312,92.788,0.9278725278767516,0.3671111665239,88.64,0.8864933188854945
43,0.19698536724490506,93.212,0.9321196024530042,0.39719654287502265,88.45,0.8845264031959896
44,0.19420632033530252,93.214,0.9321340830488842,0.38946672965576695,88.49,0.8842919789600173
45,0.1886326025104355,93.416,0.9341746152125542,0.399875472044679,88.25,0.8823836921775674
46,0.1848162216994235,93.612,0.9361366116613218,0.4115723090092088,88.25,0.8814630031726274
47,0.18264239685386038,93.65,0.9364878788788291,0.40697485365115915,87.94,0.8793058591033619
48,0.1761669025391988,93.882,0.9388168915943714,0.39496589679816724,88.18,0.8816480768846543
49,0.17703218181210253,93.844,0.9384287194060025,0.39867924130076815,88.17,0.8817273338111369
50,0.1648171524614896,94.24,0.9424099256381914,0.4267471122798646,87.99,0.8792721209498124
51,0.16352082534795603,94.29,0.9429061922403206,0.43901707735031276,87.93,0.8793039911470174
52,0.16330753149502836,94.298,0.9429855848156427,0.41815816893414326,88.17,0.8815480388549302
53,0.16167762585918008,94.404,0.9440407010498062,0.40960050217664923,88.8,0.8887416651444165
54,0.11862505054996943,95.844,0.9584422054836288,0.39995921944167206,89.08,0.8903458047309701
55,0.11218252596076188,96.026,0.9602575714684705,0.4180942135062187,89.31,0.8929536917294841
